1,Cináed húa Artacáin: Fíanna Bátar i nEmain,bol book 1,false
1,RIg Themra dia tesband tnú,bol book 3,true
2,A Chóicid chóem Chairpri chrúaid,bol book 1,true
3,Brathir Fursu cóir a rad,bol book 6,true
4,Luid Mael Ruain Tamlachta fechtas dia airge,bol book 5,true
5,Mael Muru Othna cecinit,bol book 3,true
5,Túathal Techtmar ba rí Temrach,bol book 1,false
6,Aigidecht Aithirne,bol book 2,true
6,Marb Cairpre Músc co n-áne,bol book 1,false
7,Incipit Scel Mucci Meic Da Thó,bol book 2,true
8,Connachta cid dia tá in t-ainm,bol book 1,false
8,Dallan mac Móre ollam Cerbaill ,bol book 1,true
8,Guidim Comdid cumachtach,bol book 1,false
9,Augaine Már mac ríg Hérend,bol book 1,true
10,Ciaran cecinit,bol book 6,true
11,Niall Frossach,bol book 5,true
11,Óenach Talten,bol book 5,false
12,Feidlimid athair Echach,bol book 1,true
13,Mugdorn ingen Moga Duib Conan gilla Find,bol book 4,true
14,Aided Choncobuir,bol book 2,true
15,CIa triallaid nech aisnis,bol book 4,true
16,Turim Tigi Temrach,bol book 1,true
17,Mo Lling cecinit,bol book 3,true
18,esnada tige buchet,bol book 5,true
18,fingal ronain,bol book 5,false
19,Inn eól dúib in senchas sen,bol book 3,true
20,Ailill Ulom cecinit,bol book 3,true
20,Ailill Ólomm A Maccáin ná cí,bol book 3,false
21,Ossin cecinit,bol book 3,true
22,Na Trí Fothaid,bol book 4,true
22,trí dee donand,bol book 1,false
23,Orthanach,bol book 1,true
24,A bairgen ataí i ngábud,bol book 1,true
25,Gilla in Chomded hua Cormaic cecinit,bol book 3,false
25,Incipit Cath Ruis na Ríg,bol book 4,false
25,Incipit Mesca Ulad,bol book 5,true
26,A ben bennacht fort na raid,bol book 5,true
27,CLanna Ailella Uluim uill,bol book 3,true
27,Fothart for trebaib Con Corbb,bol book 1,false
28,Medb Lethderg,bol book 1,true
29,Cu Chulaind atbert. De aduentu Christi,bol book 2,true
30,Sloiged már rucsat Gréic co Hebríb fechtas n-aile,bol book 5,true
31,Macclerech do muntir Ferna móire,bol book 5,true
32,A Chormaic coisc do maicni,bol book 3,true
33,Buí siur Mo Lassi Lethglinni oc légund i fail Mo Lasse,bol book 5,true
33,Caillech dorat a mac dósum do MLing,bol book 5,false
33,Cóica epscop dodeochatar dochum MOedoc Ferna do Bretnaib Cille Muine,bol book 5,false
34,Dindgnai Temrach in so sís,bol book 1,true
35,Broccán Craibdech,bol book 1,false
35,Clanna Falge Ruis in ríg,bol book 1,false
35,Cuan Hua Lothchain,bol book 1,true
35,Gilla na Naem Hua Duind,bol book 1,false
36,Mac Cosse fer legind Ruis Ailithir cecinit,bol book 3,true
37,Bórama,bol book 5,true
37,Cethrur ar fichet nosfail,bol book 6,false
37,Epscop Ibar,bol book 6,false
37,Trea ropo maith in ben,bol book 6,false
37,táin bó cúalnge,bol book 2,false
38,A Gillu gairm n ilgrada,bol book 1,false
38,Cinaed hua Artacain cecinit,bol book 3,false
38,Slan seiss a Brigit co mbuaid,bol book 1,true
39,Cellach Húa Rúanada,bol book 1,false
39,Dubthach hua Lugair,bol book 1,true
40,Do fallsigud Tána Bó Cualnge,bol book 5,true
41,Nuallguba Emire in so,bol book 2,true
42,De Chophur in da Muccida,bol book 5,true
43,Gormlaith ingen Flainn cecinit,bol book 1,true
44,Ri irissech ro boí do Grecaib,bol book 5,true
45,Dialogue between Brendan and Moínenn,bol book 6,true
46,Teist Chathail meic Finguine,bol book 3,true
47,Días macclerech,bol book 5,true
48,Cath Carn Chonaill,bol book 5,true
49,Mugain ingen Chonchraid chain,bol book 3,true
50,Cormac mac Culennain,bol book 1,true
51,Cummíne Fota mac Fiachnai di Eoganacht Chassil,bol book 5,true
52,Aided Derb Forgaill,bol book 2,true
53,Gormlaith ingen Flaind,bol book 1,true
54,Fothad na Canone cecinit,bol book 3,true
54,Fothad na Canone cecinit cu Aed Ordnithe,bol book 3,false
55,Aided Cuanach meic Ailchini,bol book 5,true
56,Immacallam in dá Thúarad,bol book 4,true
57,Athirne Áilgessach ⁊ Mider Brí Léith,bol book 2,true
58,Fiacail Patric,bol book 6,false
58,Fochond Loingse Fergusa meic Roig,bol book 5,false
58,Tecosca Cormaic,bol book 6,true
59,Cathcharpat serda,bol book 4,true
60,Senbriathra Fithail,bol book 6,true
61,Echtra Laegaire meic Crimthainn,bol book 5,true
62,Bemmend Branduib for Brega,bol book 1,true
63,A Ngluind a n-echta a n-orgni,bol book 4,true
63,Brandub mac Echach,bol book 1,false
64,Aní doronsat do chalmu,bol book 4,true
64,Ascnam ni seol sadal,bol book 4,false
64,Dallán mac Móre,bol book 1,false
65,Baí rí amra de Grécaib Salemón a ainm,bol book 5,false
65,Cath Maige Mucrima,bol book 5,true
65,Dá brón flatha nime,bol book 5,false
65,Epscop do Gaedelaib dochoid do Róim,bol book 5,false
