1,Aided Choncobuir,bol book 2,true
2,Incipit Mesca Ulad,bol book 5,true
3,Scrín Adomnáin,bol book 6,true
4,Tecosca Cormaic,bol book 6,true
5,Ailill Ulom cecinit,bol book 3,true
5,Ailill Ólomm A Maccáin ná cí,bol book 3,false
6,Birth of Brendan,bol book 6,true
7,Orgain Dind Ríg,bol book 5,true
8,A bairgen ataí i ngábud,bol book 1,true
9,Dindgnai Temrach in so sís,bol book 1,true
10,Clanna Falge Ruis in ríg,bol book 1,true
11,Cinaed hua Artacain cecinit,bol book 3,true
12,Cethrur ar fichet nosfail,bol book 6,true
13,Athirne Áilgessach ⁊ Mider Brí Léith,bol book 2,false
13,Cethrur macclerech,bol book 5,true
14,Athirne and Amairgen son of Ecet Salach,bol book 2,true
15,Cináed húa Artacáin: Fíanna Bátar i nEmain,bol book 1,true
16,Mugdorn ingen Moga Duib Conan gilla Find,bol book 4,true
17,A Gillu gairm n ilgrada,bol book 1,true
18,Gormlaith ingen Flainn cecinit,bol book 1,true
19,RIg Themra dia tesband tnú,bol book 3,true
20,Epscop Ibar,bol book 6,true
21,Incipit Cath Ruis na Ríg,bol book 4,false
21,Tochmarc Ferbae,bol book 5,true
22,Sloiged már rucsat Gréic co Hebríb fechtas n-aile,bol book 5,true
23,Brislech Mór Maige Muirthemni,bol book 2,true
24,Audacht Moraind,bol book 6,true
25,Augaine Már mac ríg Hérend,bol book 1,true
26,Ri irissech ro boí do Grecaib,bol book 5,true
27,Sarbili anim Mo Ninni,bol book 6,true
28,Gillae Coemain cecinit Analad anall uile,bol book 3,true
29,Dublitir hua Uathgaile cecinit,bol book 3,true
30,esnada tige buchet,bol book 5,true
30,fingal ronain,bol book 5,false
31,Senchas Ailiúin Chobthaig,bol book 5,true
32,Echta Lagen for Leth Cuind,bol book 1,true
33,Teist Chathail meic Finguine,bol book 3,true
34,Cellach Húa Rúanada,bol book 1,true
35,Epscop do Gaedelaib dochoid do Róim,bol book 5,true
36,Caillech dorat a mac dósum do MLing,bol book 5,true
37,Dub Dá Thúath Diambad messe bad rí reil,bol book 3,true
38,Feidlimid athair Echach,bol book 1,true
39,Mo Lling cecinit,bol book 3,true
40,Longes Chonaill Chuirc,bol book 5,true
41,Mo Lling Luachra dalta do Maehóc Ferna,bol book 5,true
42,Tech Midchúarda,bol book 1,true
43,Luid Mael Ruain Tamlachta fechtas dia airge,bol book 5,true
44,Trefocul,bol book 1,true
45,Mugain ingen Chonchraid chain,bol book 3,true
46,Cummíne Fota mac Fiachnai di Eoganacht Chassil,bol book 5,true
47,Aided Cheltchair meic Uthechair,bol book 2,true
48,Senbriathra Fithail,bol book 6,true
49,Gilla na Naem Hua Duind,bol book 1,true
50,Aided Meidbe,bol book 2,true
51,Túathal Techtmar ba rí Temrach,bol book 1,true
52,Nuallguba Emire in so,bol book 2,true
53,Fothad na Canone cecinit,bol book 3,true
54,Tréide Cétna Labratar Iarna Genemain,bol book 2,true
55,Dubthach hua Lugair,bol book 1,true
56,Cu Chulaind atbert. De aduentu Christi,bol book 2,true
57,Broccán Craibdech,bol book 1,true
58,Aided Derb Forgaill,bol book 2,false
58,Dá brón flatha nime,bol book 5,true
59,trí dee donand,bol book 1,true
60,Días macclerech,bol book 5,true
61,Buí siur Mo Lassi Lethglinni oc légund i fail Mo Lasse,bol book 5,true
62,Dían,bol book 1,true
63,Iartaige na hingine colaige do Grécaib,bol book 5,true
64,Inis Dornglais ro gab Crimthann,bol book 4,true
65,Óenach Talten,bol book 5,true
66,Ossin cecinit,bol book 3,true
67,Fland Fína cecinit,bol book 1,true
68,Audacht Morainn,bol book 5,true
69,Mael Muru Othna cecinit,bol book 3,true
70,Dialogue between Brendan and Moínenn,bol book 6,true
71,Connachta cid dia tá in t-ainm,bol book 1,true
72,Dallán mac Móre,bol book 1,true
73,Na Trí Fothaid,bol book 4,true
74,Fechtas do Mling is Tóidin co n-acca Mael Doborchon,bol book 5,true
75,Fechtas aile do MLing is Toídin,bol book 5,true
76,Guidim Comdid cumachtach,bol book 1,true
77,Incipit de maccaib Conaire,bol book 5,true
78,Aní doronsat do chalmu,bol book 4,true
79,Fothart for trebaib Con Corbb,bol book 1,true
80,De Chophur in da Muccida,bol book 5,true
81,Cogad Gaedel re Gallaib,bol book 5,true
82,Fiacail Patric,bol book 6,true
83,Gilla Coemain cecinit Attá sund forba fessa,bol book 3,true
84,Fechtas dósom oc ernaigthi ina eclais,bol book 5,true
85,Gilla Mo Dutu cecinit,bol book 3,true
86,Gormlaith ingen Flaind,bol book 1,true
87,Túathal Techtmar,bol book 1,true
88,De dúlib feda na fored,bol book 1,true
89,Niall Frossach,bol book 5,true
90,Brandub mac Echach,bol book 1,true
91,Cormac mac Cuilennain cecinit,bol book 6,true
92,táin bó cúalnge,bol book 2,true
93,Aigidecht Aithirne,bol book 2,true
94,Cath Carn Chonaill,bol book 5,true
95,A Chóicid chóem Chairpri chrúaid,bol book 1,true
96,A ben bennacht fort na raid,bol book 5,true
97,Cath Maige Mucrima,bol book 5,true
98,Echtra Laegaire meic Crimthainn,bol book 5,true
99,Fithal ⁊ Cormac cecinerunt,bol book 3,true
100,Longes mac nUsnig,bol book 5,true
101,Inn eól dúib in senchas sen,bol book 3,true
102,Ascnam ni seol sadal,bol book 4,true
103,Cathcharpat serda,bol book 4,true
104,Cuan Hua Lothchain,bol book 1,true
105,Bemmend Branduib for Brega,bol book 1,true
106,Síl Aeda Sláne na sleg,bol book 4,true
107,A Ngluind a n-echta a n-orgni,bol book 4,true
108,Túarastla Rosa Failgi,bol book 1,true
109,Diarmait mac Cerbaill cecinit,bol book 3,true
110,Baí rí amra de Grécaib Salemón a ainm,bol book 5,true
111,CInd cethri ndíni iar Frigrind,bol book 4,true
112,Trí Fothaid Elgga cen chron,bol book 3,true
113,Column Cille cecinit,bol book 6,true
114,Dallan mac Móre ollam Cerbaill ,bol book 1,true
115,A Chormaic coisc do maicni,bol book 3,true
116,Ailbe Úar in lathe do Lum Luine,bol book 3,true
117,CIa triallaid nech aisnis,bol book 4,true
118,Drochcomaithech ro baí i n-ocus dosom,bol book 5,true
119,Do fallsigud Tána Bó Cualnge,bol book 5,true
120,Aided Cuanach meic Ailchini,bol book 5,true
121,Turim Tigi Temrach,bol book 1,true
122,Gilla in Chomded hua Cormaic cecinit,bol book 3,true
123,Triar macclerech,bol book 5,true
124,Immacallam in dá Thúarad,bol book 4,true
125,Fothad na Canone cecinit cu Aed Ordnithe,bol book 3,true
126,Incipit Scel Mucci Meic Da Thó,bol book 2,true
127,Ciaran cecinit,bol book 6,true
128,Mac Cosse fer legind Ruis Ailithir cecinit,bol book 3,true
129,Fochond Loingse Fergusa meic Roig,bol book 5,true
130,Gilla Cóemáin Hériu ard inis na rríg,bol book 3,true
131,Idem Dubthach,bol book 1,true
132,CLanna Ailella Uluim uill,bol book 3,true
133,Fland Fina cecinit,bol book 3,true
