Cluster ID , Title , Volume , Scribe (Schlüter) , Scribe (Duncan) 
 12 , Scél Niall Frossach ,  5 , F + A , A 
 12 , Slan seiss a Brigit co mbuaid ,  1 , A , A 
 12 , Sloiged már rucsat Gréic co Hebríb fechtas n-aile ,  5 , F , F 
 12 , Tech Midchúarda ,  1 , T , T1 
 12 , Temaile fáid Miled Espáin ,  4 , A , A 
 12 , Tochmarc Ferbae ,  5 , U , U 
 12 , Tréide Cétna Labratar Iarna Genemain ,  2 , U , U 
 12 , Táin Bó Flidais ,  5 , F , F 
 12 , Táin Bó Fraích ,  5 , F , F 
 12 , Túarastla Rosa Failgi , 1 , A + T + 2 , A 
 12 , Óenach Talten ,  5 , F + A , A 
 13 , Audacht Moraind ,  6 , A , A 
 13 , Audacht Morainn ,  5 , S , S 
 13 , Cu Chulaind atbert. De aduentu Christi ,  2 , U , U 
 13 , Úar in lathe do Lum Luine ,  3 , U , U 
 14 , A bairgen ataí i ngábud ,  1 , A , A 
 14 , Cinti crábuid gnathaigthe scoile Sinchil ,  6 , A , A 
 14 , Dublitir hua Uathgaile rédig dam a Dé do nim ,  3 , U , U 
 14 , Fothad na Canone Cert cech ríg co rréil ,  3 , U , U 
 14 , Fothad na Canone Eclais Dé bí ,  3 , U , U 
 14 , Gilla Cóemáin Annalad anall uile ,  3 , U , U
 14 , Gilla Mo Dutu Ádam óenathair na ndóene ,  3 , U , U 
 14 , Gilla in Chomded úa Cormaic a ríg ríchid reidig dam ,  3 , U , U 
 14 , Mac Cosse of Ros Ailither Rofessa i curp domuin dúir ,  3 , U , U 
 14 , Marb Cairpre Músc co n-áne ,  1 , T , T2 
 14 , Messe bad rí réil ,  3 , U , U 
 14 , Senchán Torpéist Apair ri sil nEogain Móir ,  3 , U , U 
 14 , Teist Chathail meic Finguine ,  3 , U , U 
 14 , Trí Fothaid Elgga cen chron ,  3 , U , U 
 15 , Días macclerech ,  5 , F , F 
 16 , Cummíne Fota mac Fiachnai di Eoganacht Chassil ,  5 , A , F 
 16 , Ossin Ogum i llia lia úas lecht ,  3 , U , U 
 16 , Senchas Ailiúin Chobthaig ,  5 , A , F 
 16 , Story of Athirne and Amairgen son of Ecet Salach and Aigidecht Aithirne ,  2 , U , U 
 17 , A Maccáin ná cí ,  3 , U , U 
 17 , Ailill Ólomm beir mo scíath fri úath ,  3 , U , U 
 17 , Ciaran cecinit ,  6 , A , A 
 17 , Dallán mac Móre Cerball Currig cáemLife ,  1 , A , A 
 17 , Dubthach hua Lugair Crimthan clothrí cóicid Hérend ,  1 , A, A 
 17 , Fothart for trebaib Con Corbb ,  1 , A(?) , A 
 17 , Orthanach húa Cáellama A Chóicid chóem Chairpri chrúaid ,  1 , A , A 
 17 , Trefocul ,  1 , T , T2 
 18 , Caillech dorat a mac dósum do MLing ,  5 , (F?) , F 
 18 , Cethri srotha déc éicsi ,  1 , T , T1 
 18 , Drochcomaithech ro baí i n-ocus dosom ,  5 , (F?) , F 
 19 , Mo Lling Luachra dalta do Maehóc Ferna ,  5 , (F?) , F 
 19 , Mo Lling Rochúala la nech légas libru ,  3 , U , U 
 19 , Triar macclerech ,  5 , F , F 
 20 , Broccán Craibdech Lecht Cormaic meic Culennáin ,  1 , A , A 
 20 , Bórama ,  5 , S , S 
 20 , Cethrur ar fichet nosfail ,  6 , A , A 
 20 , Clanna Falge Ruis in ríg ,  1 , A , A 
 20 , Colum Cille cecinit ,  6 , A , A 
 20 , Cuan Hua Lothchain Temair breg bale na fian ,  1 , A , A 
 20 , Epscop Ibar ,  6 , A , A 
 20 , Fiacail Patric ,  6 , A , A 
 20 , Fochond Loingse Fergusa meic Roig ,  5 , F , F 
 20 , Gilla Cóemáin attá sund forba fessa ,  3 , U , U 
 20 , Macclerech do muntir Ferna móire ,  5 , (F?) , F 
 20 , Rig Themra toebaige iar tain ,  3 , U , U 
 20 , Sarbili anim Mo Ninni ,  6 , U , A 
 20 , Scrín Adomnáin ,  6 , A , A 
 20 , Senbriathra Fithail ,  6 , A , A 
 20 , Tecosca Cormaic ,  6 , A , A 
 20 , Trea ropo maith in ben ,  6 , A , A 
 20 , Táin Bó Cúalnge ,  2 , T (+ F) ,  T1 + F 
 20 , Étsecht Luin Garad ,  6 , A , A 
